SEA,LON,LAT,ID,CODE,도,분,도,분,LAT2,LON2,LAT2,LON2,LINE_CODE
JH,35˚1.64',128˚33.06',1,A,35,1.64,128,33.06,35.02733333,128.551,35.02733333,128.551,1
JH,35˚1.53',128˚33.06',2,A,35,1.53,128,33.06,35.0255,128.551,35.0255,128.551,1
JH,35˚1.42',128˚33.06',3,A,35,1.42,128,33.06,35.02366667,128.551,35.02366667,128.551,1
JH,35˚1.32',128˚33.06',4,A,35,1.32,128,33.06,35.022,128.551,35.022,128.551,1
JH,35˚1.21',128˚33.06',5,A,35,1.21,128,33.06,35.02016667,128.551,35.02016667,128.551,1
JH,35˚1.1',128˚33.06',6,A,35,1.1,128,33.06,35.01833333,128.551,35.01833333,128.551,1
JH,35˚0.99',128˚33.06',7,A,35,0.99,128,33.06,35.0165,128.551,35.0165,128.551,1
JH,35˚0.88',128˚33.06',8,A,35,0.88,128,33.06,35.01466667,128.551,35.01466667,128.551,1
JH,35˚0.78',128˚33.06',9,A,35,0.78,128,33.06,35.013,128.551,35.013,128.551,1
JH,35˚0.67',128˚33.06',10,A,35,0.67,128,33.06,35.01116667,128.551,35.01116667,128.551,1
JH,35˚0.56',128˚33.06',11,A,35,0.56,128,33.06,35.00933333,128.551,35.00933333,128.551,1
JH,35˚0.45',128˚33.06',12,A,35,0.45,128,33.06,35.0075,128.551,35.0075,128.551,1
JH,35˚0.34',128˚33.06',13,A,35,0.34,128,33.06,35.00566667,128.551,35.00566667,128.551,1
JH,35˚0.24',128˚33.06',14,A,35,0.24,128,33.06,35.004,128.551,35.004,128.551,1
JH,35˚0.13',128˚33.06',15,A,35,0.13,128,33.06,35.00216667,128.551,35.00216667,128.551,1
JH,35˚1.64',128˚33.19',1,A,35,1.64,128,33.19,35.02733333,128.5531667,35.02733333,128.5531667,2
JH,35˚1.53',128˚33.19',2,A,35,1.53,128,33.19,35.0255,128.5531667,35.0255,128.5531667,2
JH,35˚1.42',128˚33.19',3,A,35,1.42,128,33.19,35.02366667,128.5531667,35.02366667,128.5531667,2
JH,35˚1.32',128˚33.19',4,A,35,1.32,128,33.19,35.022,128.5531667,35.022,128.5531667,2
JH,35˚1.21',128˚33.19',5,A,35,1.21,128,33.19,35.02016667,128.5531667,35.02016667,128.5531667,2
JH,35˚1.1',128˚33.19',6,A,35,1.1,128,33.19,35.01833333,128.5531667,35.01833333,128.5531667,2
JH,35˚0.99',128˚33.19',7,A,35,0.99,128,33.19,35.0165,128.5531667,35.0165,128.5531667,2
JH,35˚0.88',128˚33.19',8,A,35,0.88,128,33.19,35.01466667,128.5531667,35.01466667,128.5531667,2
JH,35˚0.78',128˚33.19',9,A,35,0.78,128,33.19,35.013,128.5531667,35.013,128.5531667,2
JH,35˚0.67',128˚33.19',10,A,35,0.67,128,33.19,35.01116667,128.5531667,35.01116667,128.5531667,2
JH,35˚0.56',128˚33.19',11,A,35,0.56,128,33.19,35.00933333,128.5531667,35.00933333,128.5531667,2
JH,35˚0.45',128˚33.19',12,A,35,0.45,128,33.19,35.0075,128.5531667,35.0075,128.5531667,2
JH,35˚0.34',128˚33.19',13,A,35,0.34,128,33.19,35.00566667,128.5531667,35.00566667,128.5531667,2
