BIZ,SAMP_CD,TYPE_NM,SAMP_YMD,CTPV_NM,SGG_NM,SHELL_LENGTH,WEIGHT,LAT,LON
해수부MP,MABIK AR6,붉은바다거북,2016-08-25,울산광역시,동구,84.1,,35.47861111,129.4230556
해수부MP,MABIK AR7,붉은바다거북,2016-09-16,강원도,속초시,81.2,57.7,38.19916667,128.6127778
해수부MP,MABIK AR8,푸른바다거북,2017-08-01,부산시,기장군,83.7,58.9,35.21666667,129.2333333
해수부MP,MABIK AR9,붉은바다거북,2017-08-14,경상북도,포항시,74.3,44.7,36.03475556,129.3807
해수부MP,MABIK AR10,푸른바다거북,2017-07-31,강원도,고성군,93.3,66.4,38.41666667,128.5
해수부MP,MABIK AR13,붉은바다거북,2017-09-22,경상북도,포항시,78.2,47.55,36,129.4666667
해수부MP,MABIK AR14,국명없음(올리브각시바다거북),2017-09-28,경상북도,포항시,65.1,27.5,36.02386111,129.5001111
해수부MP,MABIK AR15,푸른바다거북,2017-10-15,경상북도,포항시,85,70.5,36.01611111,129.4833333
해수부MP,MABIK AR16,붉은바다거북,2017-10-16,경상북도,포항시,78.2,53.3,36.07305556,129.57
해수부MP,MABIK AR17,붉은바다거북,2017-10-17,경상북도,포항시,81.7,63.9,36.07305556,129.57
해수부MP,MABIK AR18,붉은바다거북,2017-10-19,경상북도,포항시,86.2,69.1,36,129.4666667
해수부MP,MABIK AR19,붉은바다거북,2017-10-22,경상북도,포항시,71,48.85,36,129.4666667
해수부MP,MABIK AR20,국명없음(올리브각시바다거북),2017-10-24,강원도,양양군,66.2,26.4,37.98177778,128.7581389
해수부MP,MABIK AR21,푸른바다거북,2017-10-26,울산시,울주군,79.4,52.8,35.35580556,129.3394444
해수부MP,MABIK AR22,붉은바다거북,2017-10-28,경상북도,포항시,82,61.7,36.08527778,129.5544444
해수부MP,MABIK AR23,붉은바다거북,2017-10-28,경상북도,포항시,82,65.8,36.11277778,129.4388889
해수부MP,MABIK AR24,붉은바다거북,2017-11-21,강원도,삼척시,82,58,37.28861111,129.3175
해수부MP,MABIK AR26,붉은바다거북,2017-12-14,강원도,강릉시,85.7,74.2,35.56194444,129.4613889
해수부MP,MABIK AR27,붉은바다거북,2018-05-31,경상북도,포항시,84,68.3,36.1,129.4666667
해수부MP,MABIK AR28,붉은바다거북,2018-06-03,경상북도,영덕군,83.2,64,36.28361111,129.375
해수부MP,MABIK AR29,붉은바다거북,2018-06-10,경상북도,영덕군,75.8,57.1,36.47305556,129.4341667
해수부MP,MABIK AR30,붉은바다거북,2018-06-16,경상북도,포항시,85.7,83.5,36.08833333,129.4197222
해수부MP,MABIK AR31,붉은바다거북,2018-06-21,충청남도,태안군,86.1,72.1,36.61666667,126.2411111
해수부MP,MABIK AR32,붉은바다거북,2015-08-09,제주도,서귀포시,91,82.9,33.2,126.2333333
해수부MP,MABIK AR33,푸른바다거북,2015-05-04,제주도,제주시,56.1,14.5,33.46666667,126.3
해수부MP,MABIK AR34,푸른바다거북,2012-07-28,제주도,제주시,44.9,10.2,33.48333333,126.3833333
해수부MP,MABIK AR35,푸른바다거북,2012-07-28,제주도,제주시,42.8,8.85,33.43333333,126.2833333
해수부MP,MABIK AR36,푸른바다거북,2018-08-15,경상북도,울주군,80,52.45,35.34580278,126.3224139
해수부MP,MABIK AR37,푸른바다거북,2018-08-19,울산광역시,울주군,80.5,,25.3891,129.3573639
해수부MP,MABIK AR38,붉은바다거북,2018-09-09,부산시,기장군,42,14.77,35.25823611,129.2352528
해수부MP,MABIK AR39,장수거북,2018-09-17,강원도,삼척시,138.4,203.5,37.28861111,129.3175
해수부MP,MABIK AR40,붉은바다거북,2018-10-01,경상북도,포항시,74.4,51.1,36.04603889,129.5162694
해수부MP,전시_MR_39_Cc,붉은바다거북,2017-06-22,충청남도,보령시,77,48.48,36.15,126.35
해수부MP,전시_장수거북,장수거북,2012-05-31,경상북도,경주시,129.9,189,35.70444444,129.4727778
연구소MPD,MABIK AR41,푸른바다거북,2018-10-20,충청남도,서천군,,,36.09361111,126.5958333
연구소MPD,MABIK AR42,붉은바다거북,2018-10-21,경상북도,포항시,,,36.04777778,129.5811111
연구소MPD,MABIK AR43,붉은바다거북,2018-10-22,강원도,강릉시,80,69.9,37.76027778,128.9602778
연구소MPD,MABIK AR44,푸른바다거북,2018-10-21,경상남도,통영시,,,34.61694444,128.2558333
연구소MPD,MR_79_Cm,푸른바다거북,2019-03-25,제주도,서귀포시,82.7,58.45,33.22777778,126.4625
연구소MPD,MR_80_Cc,붉은바다거북,2019-06-13,경상북도,포항시,77,57.5,36.05761111,129.5268222
연구소MPD,MR_81_Cm (CRI 7640),푸른바다거북,2017-08-18,경상북도,포항시,,57.8,35.99583333,129.4308333
연구소MPD,MR_82_Cc (CRI 6116),붉은바다거북,2015-09-24,부산,중구,,62.2,35.1,129.0333333
연구소MPD,MR_83_Cm,푸른바다거북,2017-08-25,강원도,강릉시,83.9,60.9,37.88333333,128.8333333
연구소MPD,MR_85_Cc,붉은바다거북,2019-07-16,울산광역시,동구,80,57.15,35.56433333,129.4578056
연구소MPD,MR_86_Cm,푸른바다거북,2019-07-28,경상남도,통영시,79.4,53.5,34.81958333,128.4396389
연구소MPD,MR_87_Ei,매부리바다거북,2019-07-29,경상남도,통영시,88.8,72.2,34.73734167,128.3915444
연구소MPD,MR_84_Cc,붉은바다거북,2015-07-01,경상북도,경주시,,,35.82213889,129.5098056
연구소MPD,MR 88 Cm,푸른바다거북,2019-08-20,경상북도,포항시,74,18,36.11827778,129.4196083
연구소MPD,MR_89_Cm,푸른바다거북,2019-09-13,전라남도,여수시,,55,34.67319444,127.7831944
연구소MPD,MR 90 Cc,붉은바다거북,2019-11-13,강원도,양양군,,68.5,37.97068889,128.7669361
연구소MPD,MR_91_Dc,장수거북,2019-11-20,강원도,삼척시,,128.5,37.46749722,129.1707889
연구소MPD,MR 92 Cc,붉은바다거북,2020-05-18,경상남도 ,거제시,,57.5,34.96540833,128.7256639
연구소MPD,MR 93 Cc,붉은바다거북,2020-05-31,전라남도,여수시,,72.5,34.6575,127.806
연구소MPD,MR 96 Cc,붉은바다거북,2020-07-04,경상북도,포항시,,63,36.12058056,129.4074167
연구소MPD,MR 97 Cc,붉은바다거북,2020-07-19,경상북도,포항시,,53,36.06178333,129.5337583
연구소MPD,KIOST_21_2_Cc,붉은바다거북,2021.07.15,경상북도,울진군,85.2,65.45,37.05794444,129.4223333
연구소MPD,KIOST_21_9_Cm,푸른바다거북,2021.08.29,경상남도,울산광역시 북구,87,64.8,35.62619444,129.4423611
연구소MPD,MR_98_Cc,붉은바다거북,2020.09.03,경상북도,포항시,75,82.5,36.02375833,129.4998778
연구소MPD,MR_100_Cc,붉은바다거북,2021.06.16,경상북도,울진군,85.8,78.5,36.731875,129.4758111
연구소MPD,MR_101_Cc,붉은바다거북,2021.06.19,부산광역시,기장군,깨짐,69,35.31875556,129.2643361
연구소MPD,MR_102_Cc,붉은바다거북,2021.06.25,부산광역시,사하구,88.3,-,35.0444,128.98205
연구소MPD,MR_103_Cc,붉은바다거북,2021.07.12,경상북도,울진군,74.2,46.5,37.03431944,129.4189361
연구소MPD,MR 104 Cc,붉은바다거북,2021-07-17,울산광역시,북구,-,-,35.61404722,129.4567778
연구소MPD,MR 105 Cm,푸른바다거북,2021-08-17,경상북도,포항시,-,-,36.06163611,129.53275
연구소MPD,MR-107_Cm,푸른바다거북,2021-10-17,경상북도,포항시,-,-,36.20240278,129.3713833
연구소MPD,MR_108_Cm,푸른바다거북,2021-10-22,경상북도,포항시,-,-,36.08483889,129.5528417
연구소MPD,MR_109_Cm,푸른바다거북,2021-11-03,경상북도,포항시,-,-,36.08016389,129.5456611
연구소MPD,MR_113_Cc,붉은바다거북,2022-06-11,경상북도,영덕군,-,-,36.33333333,129.3666667
연구소MPD,MR_114_Cc,붉은바다거북,2022-06-18,경상북도,경주시,-,-,35.69606944,129.47545
연구소MPD,MR_117_Cm,푸른바다거북,2022-07-08,부산광역시,서구,-,-,35.09027778,129.0258333
