ID,CLCT_AREA,CLCT_YMD,TYPE_NM,SAMP_TYPE,AGE,SAMP_NO,SHP,COLOR,LENGTH,WEIGHT,POLY_TYPE,CLCT_INST,LON,LAT
C-2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 02일,SH,WHITE,3.92,0.0002,Polyphthalamide,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 02일,FO,WHITE,3.35,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 03일,FO,WHITE,5.26,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 04일,FO,WHITE,2.58,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 05일,FO,WHITE,3.61,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 06일,FO,WHITE,3.35,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 07일,FO,WHITE,3.46,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 08일,FO,WHITE,4.16,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 09일,FO,WHITE,8.08,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,01월 10일,FO,WHITE,3.12,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 01일,FO,WHITE,6.26,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 02일,FO,WHITE,3.21,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 03일,FO,WHITE,2.81,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 04일,FO,WHITE,7.96,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 05일,FO,WHITE,8.72,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 06일,FO,WHITE,5.32,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 07일,FO,WHITE,2.81,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 08일,FO,WHITE,3.3,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 09일,FO,WHITE,4.07,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,02월 10일,FO,WHITE,2.87,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,03월 01일,FO,WHITE,4.2,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,03월 02일,FO,WHITE,5.33,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,03월 03일,FO,WHITE,9.05,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,03월 04일,FO,WHITE,3.81,,EPS,바닷새연구소,33.92016944,126.6390361
JK06,추자 사수도,2022-07-09,슴새,번식지토양,,03월 05일,SH,ORANGE-BROWN,71.86,0.029,PP,바닷새연구소,33.92016944,126.6390361
JS-01,추자 사수도,2022-07-09,슴새,번식지토양,,01월 02일,FO,WHITE,6.62,0.0001,EPS,바닷새연구소,33.92016944,126.6390361
JS-01,추자 사수도,2022-07-09,슴새,번식지토양,,01월 03일,FR,GREEN,4.4,0.0001,PP,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 02일,FR,BLUE-PURPLE,2.47,0.0002,PE,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 03일,SH,WHITE,4.43,0.0001,PE,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 04일,TH,GREEN,7.2,0.0001,PE,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 05일,SH,RED-PINK,16.08,0.0062,PE,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 06일,SH,RED-PINK,2.06,0.0001,PE,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 07일,FO,WHITE,6.4,0.0005,EPS,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 08일,FO,WHITE,4.89,0.0007,EPS,바닷새연구소,33.92016944,126.6390361
NO.2,추자 사수도,2022-07-09,슴새,번식지토양,,01월 09일,FO,WHITE,20.94,0.0158,EPS,바닷새연구소,33.92016944,126.6390361
SS-02,추자 사수도,2022-07-09,슴새,번식지토양,,01월 02일,FO,WHITE,3.01,0.0001,EPS,바닷새연구소,33.92016944,126.6390361
SS-13,추자 사수도,2022-07-09,슴새,번식지토양,,01월 02일,FR,YELLOW,4.52,0.0001,PE,바닷새연구소,33.92016944,126.6390361
07월 02일,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 01일,TH,GREEN,13.47,0.0001,PE,바닷새연구소,36.66359444,125.8588
07월 02일,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 04일,TH,YELLOW,5.32,0.001,PP,바닷새연구소,36.66359444,125.8588
07월 02일,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 05일,TH,YELLOW,200,0.0503,PP,바닷새연구소,36.66359444,125.8588
08월 01일,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 01일,FO,WHITE,4.03,0.0006,EPS,바닷새연구소,36.66359444,125.8588
G10-1,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 01일,TH,BLUE-PURPLE,17.26,0.0014,PP,바닷새연구소,36.66359444,125.8588
G12,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 04일,TH,RED-PINK,32.94,0.0006,PE,바닷새연구소,36.66359444,125.8588
G12,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 05일,TH,RED-PINK,34.67,0.001,PE,바닷새연구소,36.66359444,125.8588
G12,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,02월 01일,TH,RED-PINK,9.17,0.0005,PE,바닷새연구소,36.66359444,125.8588
G12,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,02월 03일,TH,YELLOW,32.92,0.0001,PP,바닷새연구소,36.66359444,125.8588
G12,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,02월 04일,TH,YELLOW,21.88,0.0001,PP,바닷새연구소,36.66359444,125.8588
G12,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,03월 01일,TH,YELLOW,33.02,0.0012,PP,바닷새연구소,36.66359444,125.8588
G12,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,03월 02일,TH,YELLOW,29.08,0.0011,PE,바닷새연구소,36.66359444,125.8588
G6-3,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 01일,FR,BLUE-PURPLE,6.17,0.0032,PE,바닷새연구소,36.66359444,125.8588
G8-3,태안 궁시도,2022-04-29,괭이갈매기,펠릿,,01월 01일,FR,YELLOW,3.44,0.0001,PS,바닷새연구소,36.66359444,125.8588
NN1-01,태안 궁시도,2022-05-25,괭이갈매기,펠릿,,01월 01일,FO,WHITE,5.04,0.0009,EPS,바닷새연구소,36.66359444,125.8588
NN3-01,태안 궁시도,2022-05-25,괭이갈매기,펠릿,,01월 01일,TH,WHITE,200,0.0185,PE,바닷새연구소,36.66359444,125.8588
NN3-04,태안 궁시도,2022-07-12,괭이갈매기,펠릿,,01월 01일,TH,WHITE,31.02,0.0016,PE,바닷새연구소,36.66359444,125.8588
GJF-03,태안 궁시도,2022-07-12,괭이갈매기,펠릿,,01월 01일,FO,WHITE,3.45,0.0001,EPS,바닷새연구소,36.66359444,125.8588
NJF-01,태안 난도,2022-07-08,괭이갈매기,먹이덩어리,Adult,01월 01일,FR,YELLOW,4.81,0.0001,PE,바닷새연구소,36.65988611,125.8230194
GJF-03,태안 궁시도,2022-07-12,괭이갈매기,먹이덩어리,Adult,01월 01일,FO,WHITE,3.45,0.0001,EPS,바닷새연구소,36.66359444,125.8588
H-B1,통영 홍도,2022-05-03,괭이갈매기,먹이덩어리,Adult,01월 01일,,,16.96,0.081,metal,바닷새연구소,34.53727222,128.7328778
030-21428,신안 칠발도,2022-09-15,바다제비,먹이덩어리,Adult,01월 01일,FO,WHITE,3.33,0.0005,PS,바닷새연구소,34.78811667,125.7880722
030-21428,신안 칠발도,2022-09-15,바다제비,먹이덩어리,Adult,01월 02일,FO,WHITE,2.77,0.0004,PS,바닷새연구소,34.78811667,125.7880722
030-21428,신안 칠발도,2022-09-15,바다제비,먹이덩어리,Adult,01월 03일,FO,WHITE,3.38,0.0001,PS,바닷새연구소,34.78811667,125.7880722
030-21451,신안 칠발도,2022-09-15,바다제비,먹이덩어리,Adult,01월 01일,FR,GREEN,2.75,0.0065,PP,바닷새연구소,34.78811667,125.7880722
030-21454,신안 칠발도,2022-09-15,바다제비,먹이덩어리,Adult,01월 01일,FR,WHITE,3.13,0.0001,PS,바닷새연구소,34.78811667,125.7880722
030-21455,신안 칠발도,2022-09-15,바다제비,먹이덩어리,Adult,01월 01일,SH,WHITE,8.43,0.0014,PS,바닷새연구소,34.78811667,125.7880722
