CATE,SAMP_NM,FASTQ,ASV,TYPE,CLASS_1,CLASS_2,CLASS_3,EXMN_MET,YEAR,MONTH,DATE,SEASON,SAMP_ZONE,SAMP_SAREA,SAMP_SITE,LAT,LON,TEMP,SAL,DO,DO_mg_l,PH,CHL,PE,CHL_10_LU
MIC_GAE,2101.SA.MP01.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP02.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101SA.MP03.1E,HN00163778,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP04.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP05.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP06.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101SA.MP07.1E,HN00163778,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP08.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP09.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP10.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP11.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP12.1E,HN00153488,HN00170405,Plastic,PAC,PBC,페트병,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP13.1E,HN00153488,HN00170405,Plastic,OPL,-,밴드,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP14.1E,HN00153488,HN00170405,Plastic,OPL,-,장판,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP15.1E,HN00153488,HN00170405,Plastic,OPL,-,슬리퍼,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101SA.MP17.1E,HN00163778,HN00170405,Plastic,OPL,-,일회용 포크,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP18.1E,HN00153488,HN00170405,Plastic,DFG,CFG,플라스틱 부이,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101SA.MP19.1E,HN00163778,HN00170405,Plastic,DFG,CFG,플라스틱 부이,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
MIC_GAE,2101.SA.MP20.1E,HN00153488,HN00170405,Plastic,DFG,CFG,EPS 부이,Field,2021,1,28,Episodic,SW,신안,자은도,34.88816667,126.0024444,-,31.53,105.1,10.56,7.86,0.56,-,-
