Method,Target,Sampling date,Locality,Sampling site,LAT,LON,Depth,Temp,Sal,DO,pH,Chl
가입실험,1.미생물,2021-07-19,거제,장목만,34.99408333,128.6743056,1.102,25.394,30.18,8.25,8.14,3.55
가입실험,1.미생물,2021-07-20,거제,장목만,34.99411111,128.6743889,1.114,26.358,29.71,9.39,8.32,2.17
가입실험,1.미생물,2021-07-23,거제,장목만,34.99408333,128.6743889,1.532,26.246,30.24,7.71,8.16,1.41
가입실험,1.미생물,2021-07-26,거제,장목만,34.99408333,128.6743889,1.528,26.575,30.48,7.98,8.18,3.27
가입실험,1.미생물,2021-07-29,거제,장목만,34.99408333,128.6743889,1.015,27.691,30.35,7.96,8.21,1.79
가입실험,1.미생물,2021-08-01,거제,장목만,34.994,128.6744444,0.834,29.374,29.4,6.94,8.21,1.2
가입실험,1.미생물,2021-08-04,거제,장목만,34.994,128.6744444,0.927,30.41,29.48,8.18,8.27,4.09
가입실험,1.미생물,2021-08-07,거제,장목만,34.99405556,128.6743611,0.87,29.495,29.86,6.62,8.15,8.2
가입실험,1.미생물,2021-08-10,거제,장목만,34.99405556,128.6743611,0.938,27.625,29.81,6.67,8.15,5.28
필드조사,1.미생물,2021-01-28,신안,자은도,34.90394444,126.0111111,0,-,31.53,10.56,7.86,0.56
필드조사,1.미생물,2021-03-29,거제,흥남해수욕장,34.96036111,128.7181944,0.14,13.8,33.61,9.83,8.25,0.16
필드조사,1.미생물,2021-03-29,부산,명지항,35.0935,128.8985,0.19,15.5,9.17,9.16,8.13,1
필드조사,1.미생물,2021-03-29,부산,영도항,35.09652778,129.0428056,0.14,14.1,34.15,8.53,8.11,1.02
필드조사,1.미생물,2021-03-31,여수,묘도,34.88947222,127.6974722,0.97,13.7,31.79,9.9,8.09,3.02
필드조사,1.미생물,2021-04-01,목포,고하도,34.76533333,126.3732778,0.13,11.8,0.03,11.05,8.02,0.69
필드조사,1.미생물,2021-04-01,신안,자은도,34.90394444,126.0111111,0.31,15,31.62,8.63,6.76,0.04
필드조사,1.미생물,2021-04-13,제주,차귀도,33.32363889,126.1661944,1.03,16,34.24,-,-,-
필드조사,1.미생물,2021-06-08,목포,고하도,34.7655,126.3730278,1.338,20.53,30.79,10.67,8.11,4.4
필드조사,1.미생물,2021-06-08,여수,묘도,34.89758333,127.7211944,0.343,23.423,32.35,7.93,7.93,2.38
필드조사,1.미생물,2021-06-09,신안,자은도,34.88819444,126.0025,0.018,22.511,32.66,7.75,7.93,2.23
필드조사,1.미생물,2021-06-10,거제,흥남해수욕장,34.96044444,128.7181667,1.235,20.297,33.42,8.48,8,1.21
필드조사,1.미생물,2021-06-10,부산,명지항,35.10591667,128.9309722,0.663,23.107,13.53,4.5,7.44,0.37
필드조사,1.미생물,2021-06-10,부산,영도항,35.09608333,129.0414167,0.829,18.857,33.1,9.02,8.01,4.07
필드조사,1.미생물,2021-06-22,제주,섭지코지,33.435,126.9260556,0.567,25.987,32.29,8.61,8.21,0.9
필드조사,1.미생물,2021-06-22,제주,차귀도,33.32330556,126.1656944,0.804,21.776,32.94,9.03,8.1,0.64
필드조사,1.미생물,2021-08-26,거제,흥남해수욕장,34.96086111,128.7176389,0.85,25.413,0.18,5.67,7.47,1.96
필드조사,1.미생물,2021-08-26,부산,명지항,35.10608333,128.93075,1.634,25.297,0.19,5.62,7.47,1.93
필드조사,1.미생물,2021-08-26,부산,영도항,35.09652778,129.0431111,1.642,23.83,27.27,5.93,8.05,0.26
필드조사,1.미생물,2021-08-30,신안,자은도,34.88819444,126.0024167,0.06,26.798,31.29,6.62,7.98,1.12
필드조사,1.미생물,2021-08-31,목포,고하도,34.7655,126.373,0.818,26.171,27.18,4.9,7.78,1.8
필드조사,1.미생물,2021-08-31,여수,묘도,34.89775,127.7209722,0.051,29.11,25.33,10.12,8.3,22.28
필드조사,1.미생물,2021-09-09,제주,섭지코지,33.46875,126.9244444,0.359,27.19,30.21,7.38,8.14,0.47
필드조사,1.미생물,2021-09-09,제주,차귀도,33.32327778,126.1657222,1.415,21.002,32.06,4.4,7.88,0.34
필드조사,1.미생물,2021-12-01,거제,흥남해수욕장,34.96086111,128.7176389,1.519,13.865,33.32,8.79,8.27,0.36
필드조사,1.미생물,2021-12-01,부산,명지항,35.10608333,128.93075,2.102,13.75,24.6,0.98,7.61,0.77
필드조사,1.미생물,2021-12-01,부산,영도항,35.09652778,129.0431111,1.246,14.223,33.81,6.52,8.04,0.32
필드조사,1.미생물,2021-12-08,제주,섭지코지,33.43461111,126.9279444,0.826,17.295,34.03,8.45,8.04,-0.08
필드조사,1.미생물,2021-12-08,제주,차귀도,33.32305556,126.1656389,2.125,17.732,34.11,7.52,8,0.05
필드조사,1.미생물,2021-12-16,신안,자은도,34.88816667,126.0024444,0,11.361,31.21,9.11,7.92,1.19
필드조사,1.미생물,2021-12-17,목포,고하도,34.76538889,126.3731111,0.446,10.44,31.31,8.79,7.95,0.67
필드조사,1.미생물,2021-12-17,여수,묘도,34.89744444,127.7209722,0.034,10.121,32.49,9.48,8.12,3.38
