sample_no,specics_name,date,LAT,LON,sido,sigungu,clct_nm,back_length,weight,intake_weight,intake_count,note
MABIK_AR6,붉은바다거북,2016-08-25,35.47861111,129.4230556,울산광역시,동구,고래연구소 이관(분양),84.1,,0,0,
MABIK_AR7,붉은바다거북,2016-09-16,38.19916667,128.6127778,강원도,속초시,속초 해양경비안전서,81.2,57.7,2.6777,18,
MABIK_AR8,푸른바다거북,2017-08-01,35.21666667,129.2333333,부산시,기장군,기장군 해양수산과,83.7,58.9,1.9896,51,
MABIK_AR9,붉은바다거북,2017-08-14,36.03475556,129.3807,경상북도,포항시,포항해경 송도파출소,74.3,44.7,2.93045,69,
MABIK_AR10,푸른바다거북,2017-07-31,38.41666667,128.5,강원도,고성군,고성군청,93.3,66.4,10.4619,15,
MABIK_AR13,붉은바다거북,2017-09-22,36,129.4666667,경상북도,포항시,포항 동해면사무소,78.2,47.55,0.0279,2,
MABIK_AR14,국명없음(올리브각시바다거북),2017-09-28,36.02386111,129.5001111,경상북도,포항시,포항 동해면사무소,65.1,27.5,0.0197,2,
MABIK_AR15,푸른바다거북,2017-10-15,36.01611111,129.4833333,경상북도,포항시,포항 동해면사무소,85,70.5,9.2971,10,
MABIK_AR16,붉은바다거북,2017-10-16,36.07305556,129.57,경상북도,포항시,포항 호미곳해양파충류(김현승경장),78.2,53.3,0.3695,3,
MABIK_AR17,붉은바다거북,2017-10-17,36.07305556,129.57,경상북도,포항시,포항 호미곳해양파충류(김현승경장),81.7,63.9,0.033,3,
MABIK_AR18,붉은바다거북,2017-10-19,36,129.4666667,경상북도,포항시,포항 동해면사무소,86.2,69.1,4.6634,11,
MABIK_AR19,붉은바다거북,2017-10-22,36,129.4666667,경상북도,포항시,포항 동해면사무소,71,48.85,1.1718,12,
MABIK_AR20,국명없음(올리브각시바다거북),2017-10-24,37.98177778,128.7581389,강원도,양양군,김종학(양양블루마린다이버리조트),66.2,26.4,0,0,
MABIK_AR21,푸른바다거북,2017-10-26,35.35580556,129.3394444,울산시,울주군,신성욱 경장(울진해경),79.4,52.8,4.3633,22,
MABIK_AR22,붉은바다거북,2017-10-28,36.08527778,129.5544444,경상북도,포항시,포항 호미곳해양파충류(김현승경장),82,61.7,0,0,
MABIK_AR23,붉은바다거북,2017-10-28,36.11277778,129.4388889,경상북도,포항시,포항해경 영일만파출소,82,65.8,0.3524,9,
MABIK_AR24,붉은바다거북,2017-11-21,37.28861111,129.3175,강원도,삼척시,한화아쿠아플라넷 여수,82,58,0.6229,5,
MABIK_AR26,붉은바다거북,2017-12-14,35.56194444,129.4613889,강원도,강릉시,환동해본부 해양항만과,85.7,74.2,0.1902,4,
MABIK_AR27,붉은바다거북,2018-05-31,36.1,129.4666667,경상북도,포항시,포항해경 영일만파출소,84,68.3,1.7772,22,
MABIK_AR28,붉은바다거북,2018-06-03,36.28361111,129.375,경상북도,영덕군,울진해경 강구파출소,83.2,64,0.181,10,
MABIK_AR29,붉은바다거북,2018-06-10,36.47305556,129.4341667,경상북도,영덕군,영덕해경 축산해양경찰,75.8,57.1,5.3949,21,
MABIK_AR30,붉은바다거북,2018-06-16,36.08833333,129.4197222,경상북도,포항시,포항해경 죽천파출소,85.7,83.5,8.355,70,
MABIK_AR31,붉은바다거북,2018-06-21,36.61666667,126.2411111,충청남도,태안군,태안군청 해양수산과,86.1,72.1,15.6016,52,"플라스틱 개별 무게, 개수의 합과 다름. (플라스틱 전시 후 재측정시 유실 가능성)"
MABIK_AR32,붉은바다거북,2015-08-09,33.2,126.2333333,제주도,서귀포시,제주대학교 김병엽교수,91,82.9,0,0,
MABIK_AR33,푸른바다거북,2015-05-04,33.46666667,126.3,제주도,제주시,제주대학교 김병엽교수,56.1,14.5,0.0008,1,
MABIK_AR34,푸른바다거북,2012-07-28,33.48333333,126.3833333,제주도,제주시,제주대학교 김병엽교수,44.9,10.2,13.3896,169,
MABIK_AR35,푸른바다거북,2012-07-28,33.43333333,126.2833333,제주도,제주시,제주대학교 김병엽교수,42.8,8.85,2.5995,111,
MABIK_AR36,푸른바다거북,2018-08-15,35.34580278,126.3224139,경상북도,울주군,울주군청 축수산과,80,52.45,5.1571,79,
MABIK_AR37,푸른바다거북,2018-08-19,25.3891,129.3573639,울산광역시,울주군,울주군청 축수산과,80.5,,11.7004,229,
MABIK_AR38,붉은바다거북,2018-09-09,35.25823611,129.2352528,부산시,기장군,기장 119안전센터,42,14.77,10.2378,221,"플라스틱 개별 무게, 개수의 합과 다름. (플라스틱 전시 후 재측정시 유실 가능성)"
MABIK_AR39,장수거북,2018-09-17,37.28861111,129.3175,강원도,삼척시,장호항해양파출소,138.4,203.5,0,0,
MABIK_AR40,붉은바다거북,2018-10-01,36.04603889,129.5162694,경상북도,포항시,포항 동해면사무소,74.4,51.1,0,0,
전시_MR_39_Cc,붉은바다거북,2017-06-22,36.15,126.35,충청남도,보령시,충남수잔자원연구소,77,48.48,4.5323,57,
전시_장수거북,장수거북,2012-05-31,35.70444444,129.4727778,경상북도,경주시,양남면사무소,129.9,189,0.2717,2,
MABIK AR41,푸른바다거북,2018-10-20,36.09361111,126.5958333,충청남도,서천군,송석어촌계장,,,0.0819,4,
MABIK AR42,붉은바다거북,2018-10-21,36.04777778,129.5811111,경상북도,포항시,국립해양박물관,,,7.0086,25,
MABIK AR43,붉은바다거북,2018-10-22,37.76027778,128.9602778,강원도,강릉시,강릉시청,80,69.9,0,0,
