order,site_no,site,class,class_a,result,distance_class,size_class,color,note
1차,SY1-1,SY,포장재,플라스틱 음료수병,음료수병,6,3,갈색,
1차,SY1-1,SY,포장재,비닐or과자봉지,비닐봉지,1,3,까만색,클리어화일
1차,SY1-1,SY,포장재,비닐or과자봉지,과자봉지,2,2,,몽쉘통통
1차,SY1-3,SY,기타인공물,나무,각목,3,6,,
1차,SY1-3,SY,기타인공물,나무,각목,3,5,,
1차,SY1-4,SY,포장재,비닐or과자봉지,아이스크림봉지,2,3,,
1차,SY1-4,SY,기타인공물,유리,유리병,3,2,,박카스
1차,SY1-4,SY,포장재,비닐or과자봉지,비닐조각,2,2,투명,
1차,SY1-4,SY,기타플라스틱,플라스틱 조각or기타,플라스틱조각,1,1,흰색,
1차,SY1-4,SY,포장재,비닐or과자봉지,비닐봉지,2,1,투명,
1차,SY1-4,SY,포장재,비닐or과자봉지,비닐조각,1,1,투명,
1차,SY1-4,SY,포장재,비닐or과자봉지,비닐조각,1,1,투명,
1차,SY1-5,SY,포장재,비닐or과자봉지,비닐,1,3,노란색,
1차,SY1-5,SY,어구,밧줄or끈,밧줄,2,5,,
1차,SY1-5,SY,포장재,비닐or과자봉지,비닐,3,4,푸른색,
1차,SY1-5,SY,포장재,포장용품,노끈,1,3,,
1차,SY1-5,SY,포장재,비닐or과자봉지,비닐조각,1,2,,
1차,SY1-5,SY,포장재,비닐or과자봉지,비닐봉지,2,3,,
1차,SY1-5,SY,포장재,비닐or과자봉지,비닐봉지,1,2,,
1차,SY1-5,SY,포장재,비닐or과자봉지,비닐봉지,4,4,,
1차,SY2-1,SY,포장재,비닐or과자봉지,비닐조각,1,1,,
1차,SY2-1,SY,포장재,플라스틱 음료수병,플라스틱뚜껑,1,2,,
1차,SY2-1,SY,포장재,포장용품,노끈,2,3,하얀색,
1차,SY2-1,SY,포장재,포장용품,노끈,2,2,,
1차,SY2-1,SY,포장재,비닐or과자봉지,비닐봉지,2,4,,
1차,SY2-1,SY,어구,밧줄or끈,밧줄,1,3,,
1차,SY2-1,SY,어구,밧줄or끈,밧줄,1,3,,
1차,SY2-1,SY,어구,밧줄or끈,밧줄,1,3,,
1차,SY2-1,SY,어구,밧줄or끈,밧줄,1,3,,
1차,SY2-1,SY,포장재,비닐or과자봉지,비닐봉지,4,2,,
1차,SY2-1,SY,기타플라스틱,플라스틱 조각or기타,플라스틱조각,2,1,,
1차,SY2-2,SY,포장재,비닐or과자봉지,과자봉지,3,3,,
1차,SY2-2,SY,어구,EPS조각,EPS조각,2,2,,
1차,SY2-3,SY,어구,밧줄or끈,로프,1,2,,
1차,SY2-3,SY,포장재,비닐or과자봉지,과자봉지,3,2,,
1차,SY2-3,SY,어구,밧줄or끈,로프,1,2,,
1차,SY2-3,SY,포장재,포장용품,노끈,1,2,,
1차,SY2-3,SY,어구,밧줄or끈,밧줄,2,1,,
1차,SY2-3,SY,포장재,포장용품,노끈,1,3,,
1차,SY2-3,SY,어구,EPS조각,EPS조각,1,1,,
1차,SY2-4,SY,포장재,포장용품,포장끈,3,3,붉은색,
1차,SY2-4,SY,어구,EPS조각,EPS조각,1,1,,
1차,SY2-4,SY,어구,밧줄or끈,밧줄,2,3,,
1차,SY2-5,SY,포장재,비닐or과자봉지,비닐봉지,4,2,,
1차,SY2-5,SY,포장재,비닐or과자봉지,비닐봉지,5,4,,
1차,SY2-5,SY,어구,밧줄or끈,밧줄,2,3,,
1차,SY2-5,SY,어구,밧줄or끈,밧줄,1,2,,
1차,SY2-5,SY,어구,밧줄or끈,밧줄,3,2,,
1차,SY3-1,SY,포장재,비닐or과자봉지,비닐봉지,1,2,,
1차,SY3-1,SY,포장재,포장용품,노끈,1,2,,
1차,SY3-1,SY,포장재,비닐or과자봉지,비닐조각,2,2,,
1차,SY3-1,SY,기타인공물,종이,종이컵,1,2,,
1차,SY3-1,SY,포장재,포장용품,노끈,1,2,,
1차,SY3-1,SY,포장재,비닐or과자봉지,비닐,2,2,,
1차,SY3-1,SY,어구,밧줄or끈,로프,1,2,,
1차,SY3-1,SY,어구,밧줄or끈,로프,1,2,,
1차,SY3-1,SY,어구,밧줄or끈,로프,1,2,,
1차,SY3-1,SY,어구,밧줄or끈,로프,1,2,,
1차,SY3-1,SY,어구,밧줄or끈,로프,1,2,,
1차,SY3-1,SY,기타플라스틱,플라스틱 조각or기타,플라스틱조각,2,1,,
1차,SY3-1,SY,포장재,비닐or과자봉지,비닐조각,1,1,,
